op,det3d_infer_backbone,obstacle_bbox_head,lfp_backbone_rpn,seg_output_clas_label,det3d_infer_reader,seg_output_clas_feat,obstacle_bbox_head_3d,obstacle_backbone,paddle_parsing,lfp_box_head,paddle_apperance
OP_name,1,1,1,1,1,1,1,1,1,1,1
batch_norm,1,0,0,1,1,1,1,1,1,0,0
bilinear_interp_v2,1,0,0,1,0,1,0,0,1,0,0
concat,1,0,0,1,0,1,0,1,1,0,1
conv2d,1,1,1,1,0,1,1,1,1,1,1
elementwise_add,1,1,1,1,0,1,1,1,1,1,1
feed,1,1,1,1,1,1,1,1,1,1,1
fetch,1,1,1,1,1,1,1,1,1,1,1
relu,1,1,1,1,1,1,1,1,1,1,1
transpose2,1,0,0,0,1,0,0,0,1,0,1
Paddle-Lite,1,1,1,1,1,1,1,1,1,1,1
matmul_v2,0,1,0,0,1,0,1,0,0,1,0
pool2d,0,1,0,0,0,0,1,1,0,0,1
softmax,0,1,0,0,0,0,1,0,0,0,0
squeeze2,0,1,0,0,1,0,1,0,0,0,0
arg_max,0,0,0,1,0,1,0,0,1,0,0
elementwise_mul,0,0,0,1,0,1,0,0,1,0,0
scale,0,0,0,1,0,1,0,1,0,1,0
shape,0,0,0,1,0,1,0,0,1,0,0
slice,0,0,0,1,0,1,0,0,1,0,1
cast,0,0,0,0,0,1,0,0,1,0,0
equal,0,0,0,0,0,1,0,0,1,0,0
fill_constant,0,0,0,0,0,1,0,0,1,0,0
sigmoid,0,0,0,0,0,0,1,1,0,0,0
reshape2,0,0,0,0,0,0,0,1,1,1,0
split,0,0,0,0,0,0,0,1,1,0,0
elementwise_sub,0,0,0,0,0,0,0,0,1,0,0
gather,0,0,0,0,0,0,0,0,1,0,0
