op,MobileNetV3_large_x1_0_infer,pp_liteseg_infer_model,picodet_s_416_coco_lcnet,fcn_hrnetw18_small_v1_humanseg_192x192_with_softmax,PPLCNet_x1_0_infer
OP_name,1,1,1,1,1
batch_norm,1,1,1,1,1
conv2d,1,1,1,1,1
depthwise_conv2d,1,1,1,0,1
dropout,1,0,0,0,1
elementwise_add,1,1,1,1,1
elementwise_mul,1,1,1,0,1
feed,1,1,1,1,1
fetch,1,1,1,1,1
flatten_contiguous_range,1,0,0,0,1
hard_sigmoid,1,0,1,0,1
hard_swish,1,0,1,0,1
matmul,1,0,0,0,0
pool2d,1,1,1,0,1
relu,1,1,1,1,1
scale,1,1,1,1,0
softmax,1,0,1,1,1
Paddle-Lite,1,1,1,1,1
arg_max,0,1,0,0,0
bilinear_interp_v2,0,1,0,1,0
concat,0,1,1,1,0
reduce_max,0,1,0,0,0
reduce_mean,0,1,0,0,0
shape,0,1,0,1,0
sigmoid,0,1,1,0,0
slice,0,1,0,1,0
elementwise_div,0,0,1,0,0
matmul_v2,0,0,1,0,1
multiclass_nms3,0,0,1,0,0
nearest_interp_v2,0,0,1,0,0
reshape2,0,0,1,0,0
split,0,0,1,0,0
sqrt,0,0,1,0,0
transpose2,0,0,1,0,0
